from_stop_id,to_stop_id,transfer_type,min_transfer_time
StopPoint:AMIFORCE2,StopPoint:AMIFORCE1,2,98
StopPoint:AMIFOSAL1,StopPoint:AMIFOSAL2,2,88
StopPoint:AMIFOSAL2,StopPoint:AMIFOSAL1,2,88
StopPoint:AMIFRANC1,StopPoint:AMIFRANC2,2,23
StopPoint:AMIFRANC2,StopPoint:AMIFRANC1,2,23
StopPoint:AMIFMISTN1,StopPoint:AMIFMISTN2,2,109
StopPoint:AMIFMISTN2,StopPoint:AMIFMISTN1,2,109
StopPoint:AMIGARENA,StopPoint:AMIGARENB,2,64
StopPoint:AMIGARENA,StopPoint:AMIGARENC,2,94
StopPoint:AMIGARENA,StopPoint:AMIGAREND,2,131
StopPoint:AMIGARENA,StopPoint:AMIGAREE,2,213
StopPoint:AMIGARENA,StopPoint:AMIGAREF,2,245
StopPoint:AMIGARENA,StopPoint:AMIGNORD,2,260
StopPoint:AMIGARENB,StopPoint:AMIGARENA,2,64
StopPoint:AMIGARENB,StopPoint:AMIGARENC,2,147
StopPoint:AMIGARENB,StopPoint:AMIGAREND,2,160
StopPoint:AMIGARENB,StopPoint:AMIGAREE,2,258
StopPoint:AMIGARENB,StopPoint:AMIGAREF,2,281
StopPoint:AMIGARENB,StopPoint:AMIGNORD,2,258
StopPoint:AMIGARENC,StopPoint:AMIGARENA,2,94
StopPoint:AMIGARENC,StopPoint:AMIGARENB,2,147
StopPoint:AMIGARENC,StopPoint:AMIGAREND,2,193
StopPoint:AMIGARENC,StopPoint:AMIGAREE,2,121
StopPoint:AMIGARENC,StopPoint:AMIGAREF,2,160
StopPoint:AMIGARENC,StopPoint:AMIGNORD,2,223
StopPoint:AMIGAREND,StopPoint:AMIGARENA,2,131
StopPoint:AMIGAREND,StopPoint:AMIGARENB,2,160
StopPoint:AMIGAREND,StopPoint:AMIGARENC,2,193
StopPoint:AMIGAREND,StopPoint:AMIGAREE,2,309
StopPoint:AMIGAREND,StopPoint:AMIGAREF,2,353
StopPoint:AMIGAREND,StopPoint:AMIGNORD,2,391
StopPoint:AMIGAREE,StopPoint:AMIGARENA,2,213
StopPoint:AMIGAREE,StopPoint:AMIGARENB,2,258
StopPoint:AMIGAREE,StopPoint:AMIGARENC,2,121
StopPoint:AMIGAREE,StopPoint:AMIGAREND,2,309
StopPoint:AMIGAREE,StopPoint:AMIGAREF,2,54
StopPoint:AMIGAREE,StopPoint:AMIGNORD,2,197
StopPoint:AMIGAREF,StopPoint:AMIGARENA,2,245
StopPoint:AMIGAREF,StopPoint:AMIGARENB,2,281
StopPoint:AMIGAREF,StopPoint:AMIGARENC,2,160
StopPoint:AMIGAREF,StopPoint:AMIGAREND,2,353
StopPoint:AMIGAREF,StopPoint:AMIGAREE,2,54
StopPoint:AMIGAREF,StopPoint:AMIGNORD,2,162
StopPoint:AMIGNORD,StopPoint:AMIGARENA,2,260
StopPoint:AMIGNORD,StopPoint:AMIGARENB,2,258
StopPoint:AMIGNORD,StopPoint:AMIGARENC,2,223
StopPoint:AMIGNORD,StopPoint:AMIGAREND,2,391
StopPoint:AMIGNORD,StopPoint:AMIGAREE,2,197
StopPoint:AMIGNORD,StopPoint:AMIGAREF,2,162
StopPoint:AMIGARER1,StopPoint:AMIGARER2,2,21
StopPoint:AMIGARER2,StopPoint:AMIGARER1,2,21
StopPoint:AMIGENDA1,StopPoint:AMIGENDA2,2,129
